subject,trial,native_language,word,class,frequency,length,correct,RT,
J,152,Other,goose,animal,5.267858,5,incorrect,440.0001202,
J,154,Other,swan,animal,4.962845,4,correct,534.000086,
J,156,Other,almond,plant,4.204693,6,correct,601.9997319,
J,159,Other,asparagus,plant,3.663562,9,incorrect,394.0000357,
J,160,Other,leek,plant,3.332205,4,incorrect,475.0000931,
J,162,Other,orange,plant,6.378426,6,correct,447.0001812,
J,163,Other,woodpecker,animal,2.890372,10,incorrect,369.0001313,
J,166,Other,tortoise,animal,4.624973,8,correct,563.9998582,
J,168,Other,lettuce,plant,4.812184,7,correct,524.9998621,
J,169,Other,cat,animal,7.086738,3,correct,458.9999036,
J,170,Other,sheep,animal,6.577861,5,correct,451.9999187,
J,172,Other,avocado,plant,3.433987,7,correct,554.0001735,
J,173,Other,kiwi,plant,3.044522,4,correct,460.9999802,
J,175,Other,melon,plant,4.127134,5,correct,497.9999616,
J,176,Other,snake,animal,6.120297,5,correct,475.0000931,
J,177,Other,moose,animal,2.70805,5,correct,458.9999036,
J,178,Other,monkey,animal,5.783825,6,correct,497.9999616,
J,179,Other,blueberry,plant,2.484907,9,incorrect,435.9998939,
J,180,Other,paprika,plant,2.484907,7,incorrect,554.0001735,
J,181,Other,peanut,plant,4.59512,6,correct,508.9999916,
J,182,Other,bee,animal,5.700444,3,correct,438.9998187,
K,23,English,owl,animal,4.859812,3,correct,407.9999288,
K,24,English,chicken,animal,6.59987,7,correct,434.9999865,
K,30,English,vulture,animal,4.248495,7,correct,459.9997748,
K,32,English,orange,plant,6.378426,6,correct,450.0001878,
K,33,English,blackberry,plant,4.060443,10,correct,551.0001052,
K,34,English,lion,animal,6.098074,4,correct,403.0001765,
K,35,English,sheep,animal,6.577861,5,correct,466.0001705,
K,36,English,wasp,animal,4.682131,4,correct,446.0000214,
K,41,English,avocado,plant,3.433987,7,correct,447.9998959,
K,45,English,radish,plant,3.044522,6,correct,433.0001178,
K,48,English,stork,animal,3.044522,5,correct,500.9999494,
K,50,English,dolphin,animal,4.007333,7,correct,404.0000493,
K,51,English,fox,animal,5.652489,3,incorrect,434.9999865,
K,53,English,grape,plant,5.192957,5,correct,495.0001175,
K,54,English,spider,animal,4.844187,6,correct,433.0001178,
K,58,English,lettuce,plant,4.812184,7,correct,507.9997726,
K,63,English,cucumber,plant,4.454347,8,correct,573.9997725,
K,64,English,bat,animal,5.918894,3,correct,542.9998263,
K,74,English,goose,animal,5.267858,5,NA,NA,
K,76,English,leek,plant,3.332205,4,correct,554.9999369,
K,78,English,clove,plant,3.663562,5,correct,464.9998114,
K,79,English,elephant,animal,6.063785,8,correct,458.9999036,
K,80,English,woodpecker,animal,2.890372,10,correct,549.999847,
K,82,English,pear,plant,4.727388,4,NA,NA,
K,83,English,lemon,plant,5.631212,5,incorrect,347.999833,
K,84,English,squirrel,animal,4.70953,8,correct,460.9999802,
K,86,English,gherkin,plant,2.079442,7,correct,488.9997606,
K,87,English,olive,plant,5.587249,5,correct,424.9999282,
K,92,English,monkey,animal,5.783825,6,correct,470.0001435,
K,95,English,cat,animal,7.086738,3,correct,450.9998469,
K,98,English,goat,animal,6.228511,4,correct,472.0000068,
K,99,English,potato,plant,6.461468,6,incorrect,363.0000602,
K,100,English,camel,animal,6.109248,5,correct,470.0001435,
K,101,English,apricot,plant,3.828641,7,correct,454.9998094,
K,106,English,swan,animal,4.962845,4,correct,478.0001279,
K,108,English,bunny,animal,3.332205,5,correct,419.0000336,
K,111,English,peanut,plant,4.59512,6,correct,558.9997355,
K,112,English,pineapple,plant,3.988984,9,correct,496.999987,
K,113,English,magpie,animal,2.995732,6,incorrect,504.9997832,
K,114,English,walnut,plant,4.49981,6,incorrect,617.9997173,
K,117,English,paprika,plant,2.484907,7,correct,573.9997725,
K,119,English,crocodile,animal,4.615121,9,correct,484.0000451,
K,120,English,apple,plant,6.304449,5,correct,486.9999401,
K,121,English,carrot,plant,4.976734,6,correct,821.9996753,
K,123,English,moose,animal,2.70805,5,correct,490.9999373,
K,124,English,mouse,animal,5.805135,5,incorrect,489.9998084,
K,127,English,reindeer,animal,4.043051,8,correct,535.9999137,
K,128,English,eagle,animal,5.117994,5,correct,462.999975,
K,129,English,mushroom,plant,5.537334,8,correct,486.9999401,
K,130,English,beaver,animal,3.951244,6,correct,720.999901,
K,131,English,asparagus,plant,3.663562,9,correct,545.0001119,
K,134,English,donkey,animal,5.541264,6,correct,435.9998939,
K,136,English,frog,animal,5.129899,4,correct,561.000053,
K,137,English,horse,animal,7.77191,5,correct,436.9999147,
K,140,English,shark,animal,5.880533,5,correct,476.0000694,
K,142,English,strawberry,plant,4.75359,10,correct,637.0002194,
K,144,English,cherry,plant,4.997212,6,correct,487.9998019,
K,147,English,bee,animal,5.700444,3,correct,574.9999765,
K,150,English,squid,animal,3.970292,5,correct,576.9998462,
K,151,English,beetroot,plant,3.555348,8,correct,685.0001108,
K,152,English,melon,plant,4.127134,5,correct,558.000021,
K,153,English,almond,plant,4.204693,6,correct,551.9999745,
K,154,English,kiwi,plant,3.044522,4,correct,513.0000794,
K,155,English,tomato,plant,5.545177,6,correct,398.9998337,
K,156,English,pig,animal,6.660575,3,correct,416.9999075,
K,157,English,mole,animal,4.60517,4,correct,384.9998713,
K,158,English,whale,animal,5.298317,5,correct,419.0000336,
K,159,English,broccoli,plant,2.833213,8,correct,470.0001435,
K,160,English,snake,animal,6.120297,5,correct,444.0001943,
K,162,English,banana,plant,5.023881,6,correct,435.9998939,
K,164,English,eggplant,plant,1.791759,8,correct,435.9998939,
K,165,English,butterfly,animal,5.214936,9,correct,409.9999345,
K,167,English,blueberry,plant,2.484907,9,correct,481.999945,
K,168,English,hedgehog,animal,3.637586,8,correct,661.0001059,
K,173,English,gull,animal,4.418841,4,correct,539.0002313,
K,178,English,dog,animal,7.667626,3,correct,656.0001385,
K,182,English,mustard,plant,4.442651,7,correct,456.0000869,
K,183,English,ant,animal,5.347108,3,correct,442.0000521,
K,185,English,tortoise,animal,4.624973,8,correct,601.0000393,
M1,25,English,pear,plant,4.727388,4,correct,429.0000348,
M1,27,English,beaver,animal,3.951244,6,correct,449.0000504,
M1,31,English,almond,plant,4.204693,6,correct,556.9998664,
M1,32,English,squid,animal,3.970292,5,correct,576.9998462,
M1,33,English,eagle,animal,5.117994,5,correct,454.9998094,
M1,34,English,camel,animal,6.109248,5,NA,NA,
M1,35,English,magpie,animal,2.995732,6,correct,429.9999103,
M1,37,English,reindeer,animal,4.043051,8,correct,527.0002379,
M1,39,English,tomato,plant,5.545177,6,correct,462.999975,
M1,40,English,shark,animal,5.880533,5,correct,492.9999142,
M1,42,English,olive,plant,5.587249,5,correct,499.9999508,
M1,45,English,gull,animal,4.418841,4,correct,596.9999323,
M1,47,English,monkey,animal,5.783825,6,correct,444.0001943,
M1,48,English,mouse,animal,5.805135,5,correct,475.0000931,
M1,55,English,hedgehog,animal,3.637586,8,correct,538.0002366,
M1,59,English,horse,animal,7.77191,5,correct,469.0001086,
M1,60,English,snake,animal,6.120297,5,correct,457.9999157,
M1,62,English,lion,animal,6.098074,4,correct,447.0001812,
M1,63,English,cherry,plant,4.997212,6,correct,467.9998615,
M1,65,English,swan,animal,4.962845,4,correct,430.9999612,
M1,66,English,goose,animal,5.267858,5,correct,469.0001086,
M1,68,English,mole,animal,4.60517,4,correct,420.0001213,
M1,70,English,frog,animal,5.129899,4,correct,434.9999865,
M1,71,English,apple,plant,6.304449,5,correct,451.9999187,
M1,72,English,crocodile,animal,4.615121,9,incorrect,466.0001705,
M1,73,English,elephant,animal,6.063785,8,correct,539.9999246,
M1,75,English,bat,animal,5.918894,3,correct,490.9999373,
M1,79,English,chicken,animal,6.59987,7,correct,576.0001954,
M1,83,English,mushroom,plant,5.537334,8,correct,472.0000068,
M1,85,English,gherkin,plant,2.079442,7,incorrect,407.9999288,
M1,86,English,tortoise,animal,4.624973,8,correct,596.0001984,
M1,88,English,lettuce,plant,4.812184,7,correct,479.9999501,
M1,90,English,donkey,animal,5.541264,6,correct,462.999975,
M1,93,English,kiwi,plant,3.044522,4,correct,417.9998192,
M1,96,English,carrot,plant,4.976734,6,correct,430.9999612,
M1,101,English,stork,animal,3.044522,5,correct,570.9998803,
M1,107,English,potato,plant,6.461468,6,correct,457.9999157,
M1,109,English,spider,animal,4.844187,6,correct,515.0000512,
M1,110,English,orange,plant,6.378426,6,correct,467.9998615,
M1,112,English,leek,plant,3.332205,4,correct,524.9998621,
M1,115,English,pineapple,plant,3.988984,9,correct,456.0000869,
M1,116,English,apricot,plant,3.828641,7,correct,419.0000336,
M1,119,English,mustard,plant,4.442651,7,correct,484.0000451,
M1,120,English,walnut,plant,4.49981,6,correct,549.999847,
M1,121,English,blueberry,plant,2.484907,9,correct,515.0000512,
M1,125,English,cucumber,plant,4.454347,8,correct,453.9999101,
M1,126,English,blackberry,plant,4.060443,10,correct,480.9998701,
M1,127,English,asparagus,plant,3.663562,9,correct,485.0000529,
M1,129,English,broccoli,plant,2.833213,8,correct,462.0000503,
M1,130,English,cat,animal,7.086738,3,correct,430.9999612,
M1,133,English,radish,plant,3.044522,6,correct,425.9998525,
M1,135,English,banana,plant,5.023881,6,correct,1158.000396,
M1,136,English,butterfly,animal,5.214936,9,correct,515.0000512,
M1,137,English,beetroot,plant,3.555348,8,NA,NA,
M1,138,English,squirrel,animal,4.70953,8,correct,451.9999187,
M1,140,English,goat,animal,6.228511,4,correct,464.0002078,
M1,143,English,lemon,plant,5.631212,5,correct,464.0002078,
M1,144,English,woodpecker,animal,2.890372,10,correct,534.000086,
M1,145,English,owl,animal,4.859812,3,correct,441.0000549,
M1,146,English,sheep,animal,6.577861,5,correct,435.9998939,
M1,147,English,fox,animal,5.652489,3,correct,416.9999075,
M1,148,English,peanut,plant,4.59512,6,correct,379.999904,
M1,149,English,vulture,animal,4.248495,7,NA,NA,
M1,151,English,bunny,animal,3.332205,5,correct,426.9999944,
M1,156,English,clove,plant,3.663562,5,correct,549.999847,
M1,158,English,eggplant,plant,1.791759,8,incorrect,438.9998187,
M1,165,English,pig,animal,6.660575,3,correct,479.9999501,
M1,168,English,moose,animal,2.70805,5,correct,472.0000068,
M1,169,English,whale,animal,5.298317,5,correct,480.9998701,
M1,170,English,bee,animal,5.700444,3,correct,433.0001178,
M1,171,English,ant,animal,5.347108,3,correct,426.9999944,
M1,173,English,paprika,plant,2.484907,7,correct,540.9998491,
M1,174,English,avocado,plant,3.433987,7,correct,456.0000869,
M1,175,English,dog,animal,7.667626,3,correct,403.0001765,
M1,178,English,grape,plant,5.192957,5,correct,459.9997748,
M1,179,English,strawberry,plant,4.75359,10,correct,470.9999557,
M1,180,English,dolphin,animal,4.007333,7,correct,473.9998475,
M1,183,English,melon,plant,4.127134,5,correct,546.0000132,
M1,184,English,wasp,animal,4.682131,4,correct,561.000053,
M2,23,Other,paprika,plant,2.484907,7,incorrect,941.9997413,
M2,25,Other,mustard,plant,4.442651,7,correct,717.0001143,
M2,26,Other,potato,plant,6.461468,6,correct,668.9999598,
M2,29,Other,grape,plant,5.192957,5,correct,628.9998385,
M2,30,Other,donkey,animal,5.541264,6,correct,628.9998385,
M2,31,Other,kiwi,plant,3.044522,4,correct,581.0001413,
M2,38,Other,crocodile,animal,4.615121,9,correct,923.9999338,
M2,39,Other,eggplant,plant,1.791759,8,correct,835.0002297,
M2,44,Other,clove,plant,3.663562,5,NA,NA,
M2,45,Other,bat,animal,5.918894,3,correct,733.999979,
M2,47,Other,chicken,animal,6.59987,7,correct,594.9997587,
M2,48,Other,cucumber,plant,4.454347,8,correct,649.0001839,
M2,49,Other,owl,animal,4.859812,3,correct,619.9997036,
M2,50,Other,lettuce,plant,4.812184,7,correct,534.000086,
M2,51,Other,sheep,animal,6.577861,5,correct,578.9997235,
M2,54,Other,radish,plant,3.044522,6,correct,881.9999506,
M2,55,Other,wasp,animal,4.682131,4,correct,1118.000387,
M2,57,Other,avocado,plant,3.433987,7,correct,810.9999561,
M2,58,Other,frog,animal,5.129899,4,correct,535.9999137,
M2,59,Other,moose,animal,2.70805,5,correct,738.0001294,
M2,62,Other,tomato,plant,5.545177,6,correct,625.9997677,
M2,64,Other,reindeer,animal,4.043051,8,correct,1099.00005,
M2,66,Other,elephant,animal,6.063785,8,correct,869.9998159,
M2,70,Other,fox,animal,5.652489,3,correct,635.0000007,
M2,71,Other,spider,animal,4.844187,6,correct,649.9997641,
M2,73,Other,mouse,animal,5.805135,5,correct,535.0001354,
M2,75,Other,broccoli,plant,2.833213,8,correct,691.0001218,
M2,76,Other,pig,animal,6.660575,3,correct,513.9998636,
M2,77,Other,carrot,plant,4.976734,6,correct,534.000086,
M2,78,Other,blueberry,plant,2.484907,9,correct,672.9997781,
M2,80,Other,olive,plant,5.587249,5,correct,549.999847,
M2,84,Other,walnut,plant,4.49981,6,correct,791.9996897,
M2,88,Other,dog,animal,7.667626,3,correct,590.0002732,
M2,89,Other,pear,plant,4.727388,4,correct,551.9999745,
M2,90,Other,eagle,animal,5.117994,5,correct,522.0002151,
M2,94,Other,tortoise,animal,4.624973,8,incorrect,821.9996753,
M2,95,Other,bee,animal,5.700444,3,correct,565.0001519,
M2,103,Other,lemon,plant,5.631212,5,correct,694.0000274,
M2,105,Other,leek,plant,3.332205,4,correct,1709.000542,
M2,106,Other,hedgehog,animal,3.637586,8,correct,1641.999524,
M2,107,Other,asparagus,plant,3.663562,9,correct,797.000256,
M2,111,Other,squirrel,animal,4.70953,8,correct,1502.000252,
M2,113,Other,whale,animal,5.298317,5,correct,772.0003474,
M2,114,Other,almond,plant,4.204693,6,correct,958.0002127,
M2,115,Other,beetroot,plant,3.555348,8,correct,871.0000202,
M2,117,Other,ant,animal,5.347108,3,correct,529.9999965,
M2,119,Other,swan,animal,4.962845,4,correct,646.9998095,
M2,120,Other,orange,plant,6.378426,6,NA,NA,
M2,122,Other,snake,animal,6.120297,5,correct,543.9998657,
M2,123,Other,shark,animal,5.880533,5,correct,628.9998385,
M2,126,Other,camel,animal,6.109248,5,correct,542.9998263,
M2,127,Other,cherry,plant,4.997212,6,correct,501.9999399,
M2,128,Other,monkey,animal,5.783825,6,correct,522.0002151,
M2,129,Other,goose,animal,5.267858,5,correct,443.0001019,
M2,130,Other,melon,plant,4.127134,5,correct,566.9998278,
M2,131,Other,stork,animal,3.044522,5,correct,701.9997164,
M2,132,Other,gull,animal,4.418841,4,incorrect,956.0000831,
M2,136,Other,gherkin,plant,2.079442,7,incorrect,701.9997164,
M2,140,Other,horse,animal,7.77191,5,correct,614.9998353,
M2,154,Other,banana,plant,5.023881,6,correct,492.9999142,
M2,155,Other,butterfly,animal,5.214936,9,correct,590.0002732,
M2,157,Other,bunny,animal,3.332205,5,correct,795.9998521,
M2,158,Other,apple,plant,6.304449,5,correct,596.0001984,
M2,159,Other,strawberry,plant,4.75359,10,correct,630.0001138,
M2,160,Other,blackberry,plant,4.060443,10,correct,611.0000249,
M2,161,Other,mushroom,plant,5.537334,8,correct,556.9998664,
M2,162,Other,goat,animal,6.228511,4,correct,678.9999134,
M2,164,Other,squid,animal,3.970292,5,correct,600.0002069,
M2,166,Other,beaver,animal,3.951244,6,correct,594.9997587,
M2,168,Other,cat,animal,7.086738,3,correct,532.9997739,
M2,170,Other,mole,animal,4.60517,4,correct,540.9998491,
M2,172,Other,apricot,plant,3.828641,7,correct,707.9999337,
M2,173,Other,dolphin,animal,4.007333,7,correct,710.0000213,
M2,174,Other,magpie,animal,2.995732,6,correct,1227.999867,
M2,179,Other,vulture,animal,4.248495,7,correct,1180.000333,
M2,181,Other,peanut,plant,4.59512,6,correct,620.9999491,
M2,182,Other,woodpecker,animal,2.890372,10,correct,936.9997355,
M2,183,Other,pineapple,plant,3.988984,9,correct,536.9999492,
M2,185,Other,lion,animal,6.098074,4,correct,634.0000289,
P,23,Other,moose,animal,2.70805,5,incorrect,1102.999979,
P,25,Other,pineapple,plant,3.988984,9,correct,603.9998804,
P,28,Other,fox,animal,5.652489,3,correct,643.0001773,
P,29,Other,gull,animal,4.418841,4,correct,627.9998955,
P,31,Other,whale,animal,5.298317,5,correct,601.0000393,
P,32,Other,snake,animal,6.120297,5,correct,495.0001175,
P,33,Other,crocodile,animal,4.615121,9,correct,563.0002094,
P,40,Other,squirrel,animal,4.70953,8,correct,778.9999643,
P,43,Other,mustard,plant,4.442651,7,correct,590.0002732,
P,47,Other,eagle,animal,5.117994,5,correct,563.9998582,
P,48,Other,elephant,animal,6.063785,8,correct,546.0000132,
P,49,Other,apple,plant,6.304449,5,correct,470.0001435,
P,50,Other,cat,animal,7.086738,3,correct,522.9997573,
P,51,Other,almond,plant,4.204693,6,correct,517.9998745,
P,54,Other,lion,animal,6.098074,4,correct,532.9997739,
P,58,Other,cherry,plant,4.997212,6,correct,686.9997992,
P,59,Other,goat,animal,6.228511,4,correct,504.9997832,
P,60,Other,hedgehog,animal,3.637586,8,correct,894.000201,
P,61,Other,sheep,animal,6.577861,5,correct,501.9999399,
P,65,Other,beetroot,plant,3.555348,8,correct,643.0001773,
P,66,Other,kiwi,plant,3.044522,4,correct,560.0001211,
P,68,Other,vulture,animal,4.248495,7,correct,861.0004267,
P,71,Other,pig,animal,6.660575,3,correct,594.9997587,
P,73,Other,clove,plant,3.663562,5,correct,644.0001764,
P,74,Other,avocado,plant,3.433987,7,correct,608.999837,
P,75,Other,blackberry,plant,4.060443,10,correct,570.9998803,
P,79,Other,horse,animal,7.77191,5,correct,584.00001,
P,82,Other,pear,plant,4.727388,4,correct,752.9998285,
P,83,Other,owl,animal,4.859812,3,correct,623.9997701,
P,84,Other,mole,animal,4.60517,4,correct,494.0002385,
P,85,Other,goose,animal,5.267858,5,correct,547.0001081,
P,87,Other,donkey,animal,5.541264,6,correct,616.0000225,
P,88,Other,bunny,animal,3.332205,5,correct,864.0001998,
P,89,Other,gherkin,plant,2.079442,7,correct,960.999607,
P,90,Other,spider,animal,4.844187,6,correct,660.0001089,
P,93,Other,tortoise,animal,4.624973,8,correct,699.9997655,
P,97,Other,shark,animal,5.880533,5,correct,628.9998385,
P,98,Other,melon,plant,4.127134,5,correct,535.0001354,
P,99,Other,broccoli,plant,2.833213,8,correct,631.0000867,
P,101,Other,carrot,plant,4.976734,6,correct,573.9997725,
P,102,Other,leek,plant,3.332205,4,correct,767.0001524,
P,105,Other,magpie,animal,2.995732,6,correct,1194.999445,
P,108,Other,mushroom,plant,5.537334,8,correct,625.0002189,
P,109,Other,orange,plant,6.378426,6,correct,522.9997573,
P,110,Other,swan,animal,4.962845,4,correct,558.9997355,
P,111,Other,apricot,plant,3.828641,7,correct,528.9997715,
P,112,Other,paprika,plant,2.484907,7,correct,558.9997355,
P,114,Other,reindeer,animal,4.043051,8,correct,875.0000994,
P,115,Other,ant,animal,5.347108,3,correct,532.9997739,
P,117,Other,strawberry,plant,4.75359,10,correct,531.9997397,
P,121,Other,dog,animal,7.667626,3,correct,554.0001735,
P,123,Other,frog,animal,5.129899,4,correct,536.9999492,
P,128,Other,olive,plant,5.587249,5,correct,673.9999252,
P,129,Other,wasp,animal,4.682131,4,correct,578.0000759,
P,131,Other,butterfly,animal,5.214936,9,correct,663.9999007,
P,132,Other,lettuce,plant,4.812184,7,correct,542.9998263,
P,134,Other,potato,plant,6.461468,6,correct,479.0001928,
P,135,Other,peanut,plant,4.59512,6,correct,481.999945,
P,137,Other,banana,plant,5.023881,6,correct,541.9999992,
P,138,Other,bee,animal,5.700444,3,correct,618.9998312,
P,141,Other,blueberry,plant,2.484907,9,correct,707.9999337,
P,142,Other,tomato,plant,5.545177,6,correct,560.0001211,
P,146,Other,walnut,plant,4.49981,6,correct,920.0003036,
P,147,Other,lemon,plant,5.631212,5,correct,581.0001413,
P,149,Other,stork,animal,3.044522,5,correct,1029.999916,
P,153,Other,mouse,animal,5.805135,5,correct,670.0001927,
P,156,Other,asparagus,plant,3.663562,9,correct,741.0002777,
P,160,Other,beaver,animal,3.951244,6,correct,653.9997701,
P,161,Other,chicken,animal,6.59987,7,correct,565.9999557,
P,162,Other,bat,animal,5.918894,3,correct,554.9999369,
P,164,Other,eggplant,plant,1.791759,8,correct,581.0001413,
P,165,Other,squid,animal,3.970292,5,correct,639.9998871,
P,167,Other,monkey,animal,5.783825,6,correct,554.0001735,
P,168,Other,dolphin,animal,4.007333,7,correct,634.0000289,
P,170,Other,woodpecker,animal,2.890372,10,correct,686.9997992,
P,171,Other,cucumber,plant,4.454347,8,correct,670.9999081,
P,173,Other,radish,plant,3.044522,6,correct,513.0000794,
P,175,Other,grape,plant,5.192957,5,correct,470.9999557,
P,178,Other,camel,animal,6.109248,5,correct,496.999987,
R1,25,English,bee,animal,5.700444,3,correct,489.9998084,
R1,30,English,ant,animal,5.347108,3,correct,483.0001673,
R1,31,English,paprika,plant,2.484907,7,correct,606.0000084,
R1,32,English,monkey,animal,5.783825,6,correct,531.9997397,
R1,33,English,goose,animal,5.267858,5,correct,475.0000931,
R1,40,English,avocado,plant,3.433987,7,correct,565.0001519,
R1,43,English,camel,animal,6.109248,5,correct,522.0002151,
R1,44,English,bunny,animal,3.332205,5,correct,492.0001395,
R1,45,English,spider,animal,4.844187,6,correct,460.9999802,
R1,46,English,fox,animal,5.652489,3,correct,483.0001673,
R1,47,English,blackberry,plant,4.060443,10,correct,473.9998475,
R1,48,English,almond,plant,4.204693,6,correct,395.9999163,
R1,49,English,crocodile,animal,4.615121,9,correct,481.999945,
R1,51,English,owl,animal,4.859812,3,correct,510.0001399,
R1,55,English,swan,animal,4.962845,4,correct,596.0001984,
R1,56,English,carrot,plant,4.976734,6,correct,530.9999887,
R1,58,English,goat,animal,6.228511,4,incorrect,492.0001395,
R1,63,English,mustard,plant,4.442651,7,correct,494.0002385,
R1,68,English,banana,plant,5.023881,6,correct,510.0001399,
R1,70,English,apricot,plant,3.828641,7,correct,531.9997397,
R1,71,English,hedgehog,animal,3.637586,8,incorrect,452.9999432,
R1,72,English,clove,plant,3.663562,5,correct,551.9999745,
R1,76,English,asparagus,plant,3.663562,9,correct,535.0001354,
R1,77,English,beaver,animal,3.951244,6,correct,772.9999624,
R1,80,English,reindeer,animal,4.043051,8,correct,563.0002094,
R1,84,English,lion,animal,6.098074,4,correct,596.9999323,
R1,85,English,chicken,animal,6.59987,7,correct,466.0001705,
R1,88,English,gherkin,plant,2.079442,7,correct,515.0000512,
R1,89,English,pineapple,plant,3.988984,9,correct,498.9999522,
R1,93,English,magpie,animal,2.995732,6,correct,675.0002087,
R1,97,English,gull,animal,4.418841,4,incorrect,666.9999694,
R1,100,English,cucumber,plant,4.454347,8,correct,539.0002313,
R1,101,English,squirrel,animal,4.70953,8,correct,607.0001268,
R1,102,English,cherry,plant,4.997212,6,correct,540.9998491,
R1,106,English,leek,plant,3.332205,4,correct,534.000086,
R1,109,English,apple,plant,6.304449,5,correct,532.9997739,
R1,111,English,lettuce,plant,4.812184,7,correct,459.9997748,
R1,116,English,beetroot,plant,3.555348,8,correct,1678.00019,
R1,118,English,potato,plant,6.461468,6,correct,630.0001138,
R1,123,English,vulture,animal,4.248495,7,correct,759.9996707,
R1,125,English,pear,plant,4.727388,4,correct,1027.999541,
R1,126,English,donkey,animal,5.541264,6,correct,600.0002069,
R1,127,English,mole,animal,4.60517,4,correct,811.9997238,
R1,129,English,wasp,animal,4.682131,4,correct,543.9998657,
R1,130,English,walnut,plant,4.49981,6,correct,552.9999992,
R1,132,English,grape,plant,5.192957,5,correct,529.9999965,
R1,133,English,tomato,plant,5.545177,6,correct,492.9999142,
R1,135,English,butterfly,animal,5.214936,9,correct,556.9998664,
R1,136,English,radish,plant,3.044522,6,correct,524.9998621,
R1,137,English,melon,plant,4.127134,5,correct,508.9999916,
R1,139,English,dog,animal,7.667626,3,correct,582.9998914,
R1,144,English,broccoli,plant,2.833213,8,correct,479.0001928,
R1,145,English,bat,animal,5.918894,3,correct,707.9999337,
R1,146,English,pig,animal,6.660575,3,correct,563.9998582,
R1,148,English,mouse,animal,5.805135,5,correct,506.9999982,
R1,149,English,eagle,animal,5.117994,5,correct,466.0001705,
R1,150,English,shark,animal,5.880533,5,correct,506.0001673,
R1,151,English,tortoise,animal,4.624973,8,correct,525.9998881,
R1,152,English,snake,animal,6.120297,5,correct,578.9997235,
R1,154,English,stork,animal,3.044522,5,incorrect,675.0002087,
R1,155,English,squid,animal,3.970292,5,correct,542.9998263,
R1,157,English,horse,animal,7.77191,5,correct,534.000086,
R1,158,English,cat,animal,7.086738,3,correct,682.0002334,
R1,159,English,peanut,plant,4.59512,6,correct,479.9999501,
R1,160,English,olive,plant,5.587249,5,correct,539.9999246,
R1,161,English,strawberry,plant,4.75359,10,correct,552.9999992,
R1,162,English,whale,animal,5.298317,5,correct,538.0002366,
R1,165,English,sheep,animal,6.577861,5,correct,476.0000694,
R1,167,English,lemon,plant,5.631212,5,correct,545.0001119,
R1,168,English,moose,animal,2.70805,5,correct,442.0000521,
R1,169,English,woodpecker,animal,2.890372,10,incorrect,462.0000503,
R1,171,English,kiwi,plant,3.044522,4,correct,530.9999887,
R1,174,English,eggplant,plant,1.791759,8,correct,546.0000132,
R1,175,English,orange,plant,6.378426,6,correct,659.0003068,
R1,177,English,mushroom,plant,5.537334,8,correct,498.9999522,
R1,179,English,elephant,animal,6.063785,8,correct,492.9999142,
R1,180,English,blueberry,plant,2.484907,9,correct,479.0001928,
R1,181,English,frog,animal,5.129899,4,correct,414.0000108,
R1,183,English,dolphin,animal,4.007333,7,correct,524.9998621,
R2,24,English,whale,animal,5.298317,5,correct,608.0000718,
R2,25,English,banana,plant,5.023881,6,NA,NA,
R2,26,English,woodpecker,animal,2.890372,10,correct,671.9997712,
R2,27,English,shark,animal,5.880533,5,correct,572.0000049,
R2,29,English,hedgehog,animal,3.637586,8,correct,673.9999252,
R2,30,English,snake,animal,6.120297,5,correct,601.0000393,
R2,31,English,strawberry,plant,4.75359,10,correct,608.0000718,
R2,32,English,leek,plant,3.332205,4,correct,578.0000759,
R2,34,English,lemon,plant,5.631212,5,correct,546.0000132,
R2,36,English,camel,animal,6.109248,5,correct,787.9999292,
R2,37,English,dolphin,animal,4.007333,7,correct,631.0000867,
R2,41,English,crocodile,animal,4.615121,9,correct,749.0000123,
R2,42,English,cat,animal,7.086738,3,correct,573.9997725,
R2,43,English,reindeer,animal,4.043051,8,correct,693.0000006,
R2,44,English,donkey,animal,5.541264,6,correct,538.0002366,
R2,46,English,mushroom,plant,5.537334,8,correct,596.0001984,
R2,47,English,elephant,animal,6.063785,8,correct,604.9997229,
R2,48,English,chicken,animal,6.59987,7,correct,576.0001954,
R2,51,English,apricot,plant,3.828641,7,correct,551.0001052,
R2,54,English,bat,animal,5.918894,3,correct,552.9999992,
R2,57,English,beetroot,plant,3.555348,8,correct,598.0001471,
R2,59,English,monkey,animal,5.783825,6,correct,699.9997655,
R2,62,English,swan,animal,4.962845,4,correct,721.9998997,
R2,63,English,orange,plant,6.378426,6,correct,767.0001524,
R2,66,English,blueberry,plant,2.484907,9,correct,1020.000096,
R2,68,English,pig,animal,6.660575,3,correct,604.9997229,
R2,70,English,melon,plant,4.127134,5,correct,786.0001632,
R2,72,English,horse,animal,7.77191,5,correct,770.0003736,
R2,73,English,kiwi,plant,3.044522,4,correct,729.0001954,
R2,74,English,tomato,plant,5.545177,6,correct,666.0002194,
R2,75,English,carrot,plant,4.976734,6,correct,690.0002777,
R2,76,English,sheep,animal,6.577861,5,correct,623.0002998,
R2,77,English,wasp,animal,4.682131,4,correct,666.0002194,
R2,78,English,mustard,plant,4.442651,7,correct,570.9998803,
R2,87,English,moose,animal,2.70805,5,correct,639.9998871,
R2,94,English,spider,animal,4.844187,6,correct,710.0000213,
R2,97,English,radish,plant,3.044522,6,correct,611.9998271,
